"","syndate","煤炭开采和洗选业","石油和天然气开采业","黑色金属矿采选业","有色金属矿采选业","非金属矿采选业","农副食品加工业","食品制造业","酒、饮料和精制茶制造业","烟草制品业","纺织业","纺织服装、服饰业","木材加工及木、竹、藤、棕、草制品业","造纸及纸制品业","印刷业和记录媒介的复制","石油、煤炭及其他燃料加工业","化学原料及化学制品制造业","医药制造业","化学纤维制造业","橡胶和塑料制品业","非金属矿物制品业","黑色金属冶炼及压延加工业","有色金属冶炼及压延加工业","金属制品业","通用设备制造业","专用设备制造业","汽车制造业","铁路、船舶、航空航天和其他运输设备制造业","电气机械及器材制造业","计算机、通信和其他电子设备制造业"
"19",2015-02-28,-1655.67416318365,1429.77808827301,237.59168893149,1204.19224994557,-124.115803414199,-14378.4107824615,-570.888970984444,-677.724162041166,238.221473106241,-3115.17356796566,-1788.36367681531,-338.824923695051,217.185384256598,-508.580350368011,-2215.85519414672,565.369325853419,362.692910739468,724.570702031247,-1412.27467083793,-410.826185580168,2048.18415400991,2788.76185274686,1082.29015672088,-2973.36702934015,-4216.51118025591,411.467174736288,1410.56148623332,-5783.74248614005,5655.35272302135
"20",2015-03-31,-975.770328955274,1168.17056892518,8.70898920947366,1370.88433277023,-90.9745155031724,-14110.9805900763,-453.810555089847,-602.059978016739,-43.0343690381487,-3193.3266465184,-1781.2355326699,-287.585372301633,-63.4566100799711,-501.27071206439,-3326.4865273863,-375.635024767253,11.9550219157827,442.234298751711,-1839.5162138155,292.501445999747,3645.17995159625,3648.4973501231,1277.79697293832,-3071.72933812023,-4097.60988969743,355.678992212517,939.376405540657,-5078.60726508842,6756.53970916563
"21",2015-04-30,-54.2466428166372,768.199652765748,-558.048892176397,1355.29739579927,-119.341921538704,-13153.5003552761,-275.054581369208,-562.621603290972,-260.168778733663,-3013.82243463447,-1537.71673303375,-275.475252227348,-474.805158132731,-486.329628311312,-4022.41130900022,-1309.52118975349,-412.507964919569,404.748138447125,-2207.92956847553,671.141289200983,3906.22393477819,4504.32452124378,1272.67539752871,-3143.73222280692,-4001.48636439841,-180.566589018563,435.168117959089,-4010.34525387984,7543.81823350862
"22",2015-05-31,436.905113733126,420.135521962551,-1294.73980879627,1261.23275617942,-179.206379533378,-11237.9815675915,-158.749090022357,-588.482999232117,-341.248537780441,-2539.05483034585,-1114.36311605068,-273.709534952228,-673.158846601233,-505.271107773191,-3870.75910425565,-2061.13466643984,-897.927280848351,812.625429485975,-2294.69953293761,715.153580207931,3589.93819641648,5679.12627167898,1204.37293455136,-2899.97434751061,-3971.88300656242,-1350.98310947494,61.754865844392,-2919.23394310416,7853.78933803091
"23",2015-06-30,66.5466865717754,307.081029654404,-1869.73333906285,1177.31370443525,-241.253079744636,-8895.45303693405,-165.909492243496,-718.69206758753,-183.197654861182,-2073.81669158285,-717.02158761592,-279.223517597435,-519.877724873477,-553.659345549357,-2883.29483625229,-2676.06846713193,-1317.8471972635,1468.71281992809,-2121.57588544367,465.931072948064,3241.69362878421,7206.30872486022,1056.94763690679,-2560.43759249288,-3943.93378295127,-3384.98590807416,-94.0008077418752,-2192.38940488873,6800.69581695227
"24",2015-07-31,-743.211009490464,480.639807312193,-2188.33314880636,1105.45060888747,-293.907737499208,-6888.72455819091,-301.221080920215,-963.180824691197,227.39348788467,-1898.00486129231,-497.175675421808,-249.90098039162,-145.883848904406,-627.507981257786,-1517.42683954164,-3420.44359723403,-1616.40160466995,1976.16685820727,-1995.25657514026,-134.469036662718,2793.07840993034,8833.93291785405,847.285436159058,-2439.60525007697,-3711.35612501332,-5696.22062808767,-62.565965093585,-2355.74808374874,3420.14464317734
"25",2015-08-31,-1391.58488409419,851.309857772732,-2340.01234469473,1003.54439483011,-311.616826938542,-5682.49343753053,-517.448303685524,-1247.40427010866,771.973431371374,-2009.12988747505,-375.366383212619,-163.820622865132,238.830476497329,-686.569743543339,-406.15335270873,-3939.57984516234,-1687.34726916788,2184.2761244701,-2074.07181529868,-856.692530345375,1671.15099237231,10016.2868549288,665.402063100308,-2676.4921178339,-3361.76255448733,-8004.5778298481,5.98360305123788,-3668.64456334407,-1519.64672790346
"26",2015-09-30,-1353.66215440878,1178.97092948992,-2469.54841545628,835.574417227414,-294.898095081197,-5348.43531722398,-732.425470141803,-1494.26400097759,1312.08163159709,-2109.12856168699,-224.078555027736,-66.8820385740983,482.42947429738,-690.846257017161,-16.220991619688,-3937.91459453304,-1546.66751948897,2262.32497427784,-2297.49139569902,-1290.41101596656,-428.470825986122,10005.7931187206,463.387067601143,-3187.62249566647,-3296.17877006315,-10133.3770388179,61.6573596943199,-5589.69495053176,-6982.98363382783
"27",2015-10-31,-724.979631355644,1402.42042902961,-2578.20029601526,599.415134249193,-259.878987990289,-5540.89872942591,-996.760044112962,-1646.84527904539,1707.97851039877,-1942.53621270641,-41.7386433034699,-41.059736422947,494.566625064341,-656.735863173904,-627.660013732151,-3207.92563215079,-1289.14576811926,2387.19232583605,-2493.43729401389,-1447.20955732351,-3783.11156902846,8202.53480163516,181.443940495927,-3888.23748906786,-3696.86635545598,-12322.5309532885,154.294464491293,-7364.40775085858,-12477.4448466953
"28",2015-11-30,-161.277091387339,1725.04349514884,-2714.41960544699,303.279222407731,-252.379478889656,-5900.48978567266,-1357.36206361721,-1637.40076481753,1801.15131268226,-1591.53956657596,65.0338944520918,-177.862378790865,311.841750843319,-627.307079809809,-2085.25075165104,-2255.6401349745,-930.762366155657,2432.63396806948,-2599.24027026522,-1577.16807764224,-9262.01782935782,4679.73136747966,-438.287041544274,-4666.76464876733,-4422.09751521447,-14760.8249621929,339.924471887607,-8892.42223117372,-18174.1965005594
"29",2015-12-31,-684.29968685552,2301.72140572007,-3057.25545615349,-157.577848202109,-320.366191910061,-6477.2647173591,-1719.64265537699,-1511.19023467391,1577.82310018485,-1407.69472668853,64.1625174339424,-495.054263953978,-2.75488058335759,-629.540095564233,-3909.33962436105,-2591.64001062961,-523.35818709161,2068.13029013141,-2648.79378858098,-2023.52214348255,-17879.1991365529,-65.1302052792162,-1441.52414741085,-5418.95173427835,-5211.87014241243,-16866.1625412483,650.669603708768,-10074.5009446464,-23429.5035781272
"30",2016-01-31,-2432.88500493238,2857.19565571932,-3793.26594215813,-822.63969345071,-469.620614506151,-7345.38459438723,-1938.51606497373,-1341.69066650308,1136.00349148361,-1607.60212861683,98.4195416004804,-924.864558953006,-429.048810677625,-664.49990546508,-5775.07416829022,-5357.54645024112,-292.51267681866,1251.50037921266,-2742.04105698649,-3158.4928470591,-29711.9882166582,-5151.71137733251,-2739.63380346852,-6313.63724811215,-6099.58416580496,-17711.0614476285,955.495226826824,-11010.0694980824,-28434.5060162261
"31",2016-02-29,-5367.106192876,2982.90679345503,-4934.88164027582,-1577.66580071931,-667.723705287332,-8326.61965490863,-2080.00925402566,-1262.96329894147,618.0368883622,-2201.32893879199,247.22406648178,-1378.71714550498,-965.210018810481,-717.615114416327,-7433.32011221442,-10166.6070783906,-480.393391930003,254.754151109308,-3124.38987607697,-4994.3607992724,-42844.1839850239,-9905.94042310232,-4258.66403518216,-7389.33319899012,-7251.61447853461,-17031.7285722205,1034.93711641457,-11917.7548202274,-33151.083408414
